sigma,rho,beta,x0,y0,z0,repeat,lyapunov_exponent,fractal_dimension
5.0,20.0,2.6666666666666665,0.1,0.1,0.1,1,,0.2779306906601938
5.0,20.0,2.6666666666666665,0.1,0.1,0.1,2,,0.2779306906601938
5.0,20.0,2.6666666666666665,0.1,0.1,0.1,3,,0.2779306906601938
5.0,20.0,2.6666666666666665,0.1,0.1,0.1,4,,0.2779306906601938
5.0,20.0,2.6666666666666665,0.1,0.1,0.1,5,,0.2779306906601938
5.0,20.0,2.6666666666666665,1.0,1.0,1.0,1,,0.1512813850102153
5.0,20.0,2.6666666666666665,1.0,1.0,1.0,2,,0.1512813850102153
5.0,20.0,2.6666666666666665,1.0,1.0,1.0,3,,0.1512813850102153
5.0,20.0,2.6666666666666665,1.0,1.0,1.0,4,,0.1512813850102153
5.0,20.0,2.6666666666666665,1.0,1.0,1.0,5,,0.1512813850102153
5.0,20.0,2.6666666666666665,5.0,5.0,5.0,1,,0.15889021509881168
5.0,20.0,2.6666666666666665,5.0,5.0,5.0,2,,0.15889021509881168
5.0,20.0,2.6666666666666665,5.0,5.0,5.0,3,,0.15889021509881168
5.0,20.0,2.6666666666666665,5.0,5.0,5.0,4,,0.15889021509881168
5.0,20.0,2.6666666666666665,5.0,5.0,5.0,5,,0.15889021509881168
5.0,28.0,2.6666666666666665,0.1,0.1,0.1,1,,0.21707724518723007
5.0,28.0,2.6666666666666665,0.1,0.1,0.1,2,,0.21707724518723007
5.0,28.0,2.6666666666666665,0.1,0.1,0.1,3,,0.21707724518723007
5.0,28.0,2.6666666666666665,0.1,0.1,0.1,4,,0.21707724518723007
5.0,28.0,2.6666666666666665,0.1,0.1,0.1,5,,0.21707724518723007
5.0,28.0,2.6666666666666665,1.0,1.0,1.0,1,,0.1717265441445458
5.0,28.0,2.6666666666666665,1.0,1.0,1.0,2,,0.1717265441445458
5.0,28.0,2.6666666666666665,1.0,1.0,1.0,3,,0.1717265441445458
5.0,28.0,2.6666666666666665,1.0,1.0,1.0,4,,0.1717265441445458
5.0,28.0,2.6666666666666665,1.0,1.0,1.0,5,,0.1717265441445458
5.0,28.0,2.6666666666666665,5.0,5.0,5.0,1,,1.6795405466524131
5.0,28.0,2.6666666666666665,5.0,5.0,5.0,2,,1.6795405466524131
5.0,28.0,2.6666666666666665,5.0,5.0,5.0,3,,1.6795405466524131
5.0,28.0,2.6666666666666665,5.0,5.0,5.0,4,,1.6795405466524131
5.0,28.0,2.6666666666666665,5.0,5.0,5.0,5,,1.6795405466524131
5.0,35.0,2.6666666666666665,0.1,0.1,0.1,1,,1.5345810122536978
5.0,35.0,2.6666666666666665,0.1,0.1,0.1,2,,1.5345810122536978
5.0,35.0,2.6666666666666665,0.1,0.1,0.1,3,,1.5345810122536978
5.0,35.0,2.6666666666666665,0.1,0.1,0.1,4,,1.5345810122536978
5.0,35.0,2.6666666666666665,0.1,0.1,0.1,5,,1.5345810122536978
5.0,35.0,2.6666666666666665,1.0,1.0,1.0,1,,1.5699651305722369
5.0,35.0,2.6666666666666665,1.0,1.0,1.0,2,,1.5699651305722369
5.0,35.0,2.6666666666666665,1.0,1.0,1.0,3,,1.5699651305722369
5.0,35.0,2.6666666666666665,1.0,1.0,1.0,4,,1.5699651305722369
5.0,35.0,2.6666666666666665,1.0,1.0,1.0,5,,1.5699651305722369
5.0,35.0,2.6666666666666665,5.0,5.0,5.0,1,,1.5599750672344033
5.0,35.0,2.6666666666666665,5.0,5.0,5.0,2,,1.5599750672344033
5.0,35.0,2.6666666666666665,5.0,5.0,5.0,3,,1.5599750672344033
5.0,35.0,2.6666666666666665,5.0,5.0,5.0,4,,1.5599750672344033
5.0,35.0,2.6666666666666665,5.0,5.0,5.0,5,,1.5599750672344033
10.0,20.0,2.6666666666666665,0.1,0.1,0.1,1,,0.16702846295431217
10.0,20.0,2.6666666666666665,0.1,0.1,0.1,2,,0.16702846295431217
10.0,20.0,2.6666666666666665,0.1,0.1,0.1,3,,0.16702846295431217
10.0,20.0,2.6666666666666665,0.1,0.1,0.1,4,,0.16702846295431217
10.0,20.0,2.6666666666666665,0.1,0.1,0.1,5,,0.16702846295431217
10.0,20.0,2.6666666666666665,1.0,1.0,1.0,1,,0.1694737845561691
10.0,20.0,2.6666666666666665,1.0,1.0,1.0,2,,0.1694737845561691
10.0,20.0,2.6666666666666665,1.0,1.0,1.0,3,,0.1694737845561691
10.0,20.0,2.6666666666666665,1.0,1.0,1.0,4,,0.1694737845561691
10.0,20.0,2.6666666666666665,1.0,1.0,1.0,5,,0.1694737845561691
10.0,20.0,2.6666666666666665,5.0,5.0,5.0,1,,0.21224891426395376
10.0,20.0,2.6666666666666665,5.0,5.0,5.0,2,,0.21224891426395376
10.0,20.0,2.6666666666666665,5.0,5.0,5.0,3,,0.21224891426395376
10.0,20.0,2.6666666666666665,5.0,5.0,5.0,4,,0.21224891426395376
10.0,20.0,2.6666666666666665,5.0,5.0,5.0,5,,0.21224891426395376
10.0,28.0,2.6666666666666665,0.1,0.1,0.1,1,,1.7297158093186489
10.0,28.0,2.6666666666666665,0.1,0.1,0.1,2,,1.7297158093186489
10.0,28.0,2.6666666666666665,0.1,0.1,0.1,3,,1.7297158093186489
10.0,28.0,2.6666666666666665,0.1,0.1,0.1,4,,1.7297158093186489
10.0,28.0,2.6666666666666665,0.1,0.1,0.1,5,,1.7297158093186489
10.0,28.0,2.6666666666666665,1.0,1.0,1.0,1,,1.529770972827204
10.0,28.0,2.6666666666666665,1.0,1.0,1.0,2,,1.529770972827204
10.0,28.0,2.6666666666666665,1.0,1.0,1.0,3,,1.529770972827204
10.0,28.0,2.6666666666666665,1.0,1.0,1.0,4,,1.529770972827204
10.0,28.0,2.6666666666666665,1.0,1.0,1.0,5,,1.529770972827204
10.0,28.0,2.6666666666666665,5.0,5.0,5.0,1,,1.6846169048328596
10.0,28.0,2.6666666666666665,5.0,5.0,5.0,2,,1.6846169048328596
10.0,28.0,2.6666666666666665,5.0,5.0,5.0,3,,1.6846169048328596
10.0,28.0,2.6666666666666665,5.0,5.0,5.0,4,,1.6846169048328596
10.0,28.0,2.6666666666666665,5.0,5.0,5.0,5,,1.6846169048328596
10.0,35.0,2.6666666666666665,0.1,0.1,0.1,1,,1.7050097122561119
10.0,35.0,2.6666666666666665,0.1,0.1,0.1,2,,1.7050097122561119
10.0,35.0,2.6666666666666665,0.1,0.1,0.1,3,,1.7050097122561119
10.0,35.0,2.6666666666666665,0.1,0.1,0.1,4,,1.7050097122561119
10.0,35.0,2.6666666666666665,0.1,0.1,0.1,5,,1.7050097122561119
10.0,35.0,2.6666666666666665,1.0,1.0,1.0,1,,1.761780978028506
10.0,35.0,2.6666666666666665,1.0,1.0,1.0,2,,1.761780978028506
10.0,35.0,2.6666666666666665,1.0,1.0,1.0,3,,1.761780978028506
10.0,35.0,2.6666666666666665,1.0,1.0,1.0,4,,1.761780978028506
10.0,35.0,2.6666666666666665,1.0,1.0,1.0,5,,1.761780978028506
10.0,35.0,2.6666666666666665,5.0,5.0,5.0,1,,1.749616313347636
10.0,35.0,2.6666666666666665,5.0,5.0,5.0,2,,1.749616313347636
10.0,35.0,2.6666666666666665,5.0,5.0,5.0,3,,1.749616313347636
10.0,35.0,2.6666666666666665,5.0,5.0,5.0,4,,1.749616313347636
10.0,35.0,2.6666666666666665,5.0,5.0,5.0,5,,1.749616313347636
20.0,20.0,2.6666666666666665,0.1,0.1,0.1,1,,0.1687504494039121
20.0,20.0,2.6666666666666665,0.1,0.1,0.1,2,,0.1687504494039121
20.0,20.0,2.6666666666666665,0.1,0.1,0.1,3,,0.1687504494039121
20.0,20.0,2.6666666666666665,0.1,0.1,0.1,4,,0.1687504494039121
20.0,20.0,2.6666666666666665,0.1,0.1,0.1,5,,0.1687504494039121
20.0,20.0,2.6666666666666665,1.0,1.0,1.0,1,,0.20269366462256208
20.0,20.0,2.6666666666666665,1.0,1.0,1.0,2,,0.20269366462256208
20.0,20.0,2.6666666666666665,1.0,1.0,1.0,3,,0.20269366462256208
20.0,20.0,2.6666666666666665,1.0,1.0,1.0,4,,0.20269366462256208
20.0,20.0,2.6666666666666665,1.0,1.0,1.0,5,,0.20269366462256208
20.0,20.0,2.6666666666666665,5.0,5.0,5.0,1,,0.18584056504223107
20.0,20.0,2.6666666666666665,5.0,5.0,5.0,2,,0.18584056504223107
20.0,20.0,2.6666666666666665,5.0,5.0,5.0,3,,0.18584056504223107
20.0,20.0,2.6666666666666665,5.0,5.0,5.0,4,,0.18584056504223107
20.0,20.0,2.6666666666666665,5.0,5.0,5.0,5,,0.18584056504223107
20.0,28.0,2.6666666666666665,0.1,0.1,0.1,1,,0.25457335951120685
20.0,28.0,2.6666666666666665,0.1,0.1,0.1,2,,0.25457335951120685
20.0,28.0,2.6666666666666665,0.1,0.1,0.1,3,,0.25457335951120685
20.0,28.0,2.6666666666666665,0.1,0.1,0.1,4,,0.25457335951120685
20.0,28.0,2.6666666666666665,0.1,0.1,0.1,5,,0.25457335951120685
20.0,28.0,2.6666666666666665,1.0,1.0,1.0,1,,0.1898522130832824
20.0,28.0,2.6666666666666665,1.0,1.0,1.0,2,,0.1898522130832824
20.0,28.0,2.6666666666666665,1.0,1.0,1.0,3,,0.1898522130832824
20.0,28.0,2.6666666666666665,1.0,1.0,1.0,4,,0.1898522130832824
20.0,28.0,2.6666666666666665,1.0,1.0,1.0,5,,0.1898522130832824
20.0,28.0,2.6666666666666665,5.0,5.0,5.0,1,,0.20264711255772422
20.0,28.0,2.6666666666666665,5.0,5.0,5.0,2,,0.20264711255772422
20.0,28.0,2.6666666666666665,5.0,5.0,5.0,3,,0.20264711255772422
20.0,28.0,2.6666666666666665,5.0,5.0,5.0,4,,0.20264711255772422
20.0,28.0,2.6666666666666665,5.0,5.0,5.0,5,,0.20264711255772422
20.0,35.0,2.6666666666666665,0.1,0.1,0.1,1,,0.0322305079443624
20.0,35.0,2.6666666666666665,0.1,0.1,0.1,2,,0.0322305079443624
20.0,35.0,2.6666666666666665,0.1,0.1,0.1,3,,0.0322305079443624
20.0,35.0,2.6666666666666665,0.1,0.1,0.1,4,,0.0322305079443624
20.0,35.0,2.6666666666666665,0.1,0.1,0.1,5,,0.0322305079443624
20.0,35.0,2.6666666666666665,1.0,1.0,1.0,1,,1.63048003879797
20.0,35.0,2.6666666666666665,1.0,1.0,1.0,2,,1.63048003879797
20.0,35.0,2.6666666666666665,1.0,1.0,1.0,3,,1.63048003879797
20.0,35.0,2.6666666666666665,1.0,1.0,1.0,4,,1.63048003879797
20.0,35.0,2.6666666666666665,1.0,1.0,1.0,5,,1.63048003879797
20.0,35.0,2.6666666666666665,5.0,5.0,5.0,1,,1.608615358110335
20.0,35.0,2.6666666666666665,5.0,5.0,5.0,2,,1.608615358110335
20.0,35.0,2.6666666666666665,5.0,5.0,5.0,3,,1.608615358110335
20.0,35.0,2.6666666666666665,5.0,5.0,5.0,4,,1.608615358110335
20.0,35.0,2.6666666666666665,5.0,5.0,5.0,5,,1.608615358110335
